"","id","Education","JoiningYear","City","PaymentTier","Age","Gender","EverBenched","ExperienceInCurrentDomain","LeaveOrNot","Gender_Numeric","EverBenched_Numeric","Education_Numeric"
"1",1,"Bachelors",2017,"Bangalore",3,34,"Male","No",0,0,0,0,1
"2",2,"Bachelors",2013,"Pune",1,28,"Female","No",3,1,1,0,1
"3",3,"Bachelors",2014,"New Delhi",3,38,"Female","No",2,0,1,0,1
"4",4,"Masters",2016,"Bangalore",3,27,"Male","No",5,1,0,0,2
"5",5,"Masters",2017,"Pune",3,24,"Male","Yes",2,1,0,1,2
"6",6,"Bachelors",2016,"Bangalore",3,22,"Male","No",0,0,0,0,1
"7",7,"Bachelors",2015,"New Delhi",3,38,"Male","No",0,0,0,0,1
"8",8,"Bachelors",2016,"Bangalore",3,34,"Female","No",2,1,1,0,1
"9",9,"Bachelors",2016,"Pune",3,23,"Male","No",1,0,0,0,1
"10",10,"Masters",2017,"New Delhi",2,37,"Male","No",2,0,0,0,2
"11",11,"Masters",2012,"Bangalore",3,27,"Male","No",5,1,0,0,2
"12",12,"Bachelors",2016,"Pune",3,34,"Male","No",3,0,0,0,1
"13",13,"Bachelors",2018,"Pune",3,32,"Male","Yes",5,1,0,1,1
"14",14,"Bachelors",2016,"Bangalore",3,39,"Male","No",2,0,0,0,1
"15",15,"Bachelors",2012,"Bangalore",3,37,"Male","No",4,0,0,0,1
"16",16,"Bachelors",2017,"Bangalore",1,29,"Male","No",3,0,0,0,1
"17",17,"Bachelors",2014,"Bangalore",3,34,"Female","No",2,0,1,0,1
"18",18,"Bachelors",2014,"Pune",3,34,"Male","No",4,0,0,0,1
"19",19,"Bachelors",2015,"Pune",2,30,"Female","No",0,1,1,0,1
"20",20,"Bachelors",2016,"New Delhi",2,22,"Female","No",0,1,1,0,1
"21",21,"Bachelors",2012,"Bangalore",3,37,"Male","No",0,0,0,0,1
"22",22,"Masters",2017,"New Delhi",2,28,"Male","No",4,0,0,0,2
"23",23,"Bachelors",2017,"New Delhi",2,36,"Male","No",3,0,0,0,1
"24",24,"Bachelors",2015,"Bangalore",3,27,"Male","Yes",5,0,0,1,1
"25",25,"Bachelors",2017,"Bangalore",3,29,"Male","No",4,0,0,0,1
"26",26,"Bachelors",2013,"Bangalore",3,22,"Female","Yes",0,0,1,1,1
"27",27,"Bachelors",2016,"Bangalore",3,37,"Male","No",2,0,0,0,1
"28",28,"Bachelors",2015,"Bangalore",3,23,"Male","No",1,0,0,0,1
"29",29,"Bachelors",2013,"Pune",2,31,"Female","No",2,1,1,0,1
"30",30,"Masters",2017,"New Delhi",2,30,"Female","No",2,0,1,0,2
"31",31,"PHD",2013,"New Delhi",3,25,"Male","No",3,0,0,0,3
"32",32,"Bachelors",2014,"Bangalore",3,23,"Male","No",1,0,0,0,1
"33",33,"Bachelors",2018,"Bangalore",3,26,"Male","No",4,1,0,0,1
"34",34,"Bachelors",2016,"Bangalore",3,40,"Male","No",5,0,0,0,1
"35",35,"Bachelors",2017,"Pune",2,37,"Female","No",0,1,1,0,1
"36",36,"Bachelors",2014,"Bangalore",1,30,"Female","No",3,0,1,0,1
"37",37,"Bachelors",2012,"New Delhi",3,29,"Male","No",3,0,0,0,1
"38",38,"Bachelors",2018,"New Delhi",2,34,"Female","No",0,1,1,0,1
"39",39,"Bachelors",2017,"Pune",2,29,"Female","No",2,1,1,0,1
"40",40,"Bachelors",2014,"Pune",3,30,"Male","Yes",4,0,0,1,1
"41",41,"Bachelors",2015,"Bangalore",3,36,"Male","No",1,0,0,0,1
"42",42,"Masters",2017,"New Delhi",2,23,"Male","No",1,0,0,0,2
"43",43,"Bachelors",2013,"Bangalore",3,30,"Male","No",3,1,0,0,1
"44",44,"Bachelors",2014,"Bangalore",3,36,"Male","No",0,0,0,0,1
"45",45,"Bachelors",2015,"Pune",3,39,"Male","No",4,0,0,0,1
"46",46,"Bachelors",2014,"Bangalore",3,23,"Female","No",1,0,1,0,1
"47",47,"PHD",2012,"New Delhi",3,27,"Male","No",5,0,0,0,3
"48",48,"Masters",2013,"New Delhi",3,35,"Male","No",2,0,0,0,2
"49",49,"Masters",2017,"New Delhi",2,34,"Male","No",0,0,0,0,2
"50",50,"Bachelors",2013,"Bangalore",3,30,"Female","No",1,0,1,0,1
"51",51,"PHD",2017,"New Delhi",3,34,"Male","No",2,0,0,0,3
"52",52,"Bachelors",2015,"Pune",2,26,"Female","No",4,1,1,0,1
"53",53,"Bachelors",2016,"Bangalore",3,34,"Female","No",0,0,1,0,1
"54",54,"Bachelors",2014,"Bangalore",3,31,"Female","Yes",5,0,1,1,1
"55",55,"Bachelors",2017,"New Delhi",3,31,"Female","Yes",5,0,1,1,1
"56",56,"PHD",2013,"New Delhi",3,28,"Male","No",2,0,0,0,3
"57",57,"Bachelors",2016,"Bangalore",3,38,"Male","No",2,0,0,0,1
"58",58,"Masters",2014,"Pune",3,39,"Female","No",2,0,1,0,2
"59",59,"Bachelors",2013,"Pune",3,32,"Male","No",4,0,0,0,1
